id,gameweek,home_score,away_score,home_Team_id,away_Team_id,home_Manager_id,away_Manager_id
206,21,,,15,14,15,14
207,21,,,16,1,16,1
208,21,,,17,19,17,19
209,21,,,18,12,18,12
210,21,,,20,5,20,5
211,22,,,1,3,1,3
212,22,,,2,18,2,18
213,22,,,4,7,4,7
214,22,,,5,6,5,6
215,22,,,9,16,9,16
216,22,,,10,17,10,17
217,22,,,12,20,12,20
218,22,,,13,8,13,8
219,22,,,14,11,14,11
220,22,,,19,15,19,15
221,23,,,1,18,1,18
222,23,,,2,5,2,5
223,23,,,3,8,3,8
224,23,,,12,19,12,19
225,23,,,15,17,15,17
226,23,,,16,13,16,13
227,23,,,20,10,20,10
228,23,,,9,4,9,4
229,23,,,11,7,11,7
230,23,,,14,6,14,6
231,24,,,4,1,4,1
232,24,,,5,15,5,15
233,24,,,6,2,6,2
234,24,,,7,9,7,9
235,24,,,8,11,8,11
236,24,,,10,16,10,16
237,24,,,13,20,13,20
238,24,,,17,12,17,12
239,24,,,18,3,18,3
240,24,,,19,14,19,14
241,25,,,1,7,1,7
242,25,,,2,10,2,10
243,25,,,3,4,3,4
244,25,,,9,17,9,17
245,25,,,11,18,11,18
246,25,,,12,6,12,6
247,25,,,14,5,14,5
248,25,,,15,13,15,13
249,25,,,16,8,16,8
250,25,,,20,19,20,19
251,26,,,4,16,4,16
252,26,,,5,12,5,12
253,26,,,6,15,6,15
254,26,,,7,3,7,3
255,26,,,8,9,8,9
256,26,,,10,11,10,11
257,26,,,13,1,13,1
258,26,,,17,14,17,14
259,26,,,18,20,18,20
260,26,,,19,2,19,2
261,27,,,8,7,8,7
262,27,,,9,1,9,1
263,27,,,11,2,11,2
264,27,,,14,12,14,12
265,27,,,15,10,15,10
266,27,,,16,3,16,3
267,27,,,17,6,17,6
268,27,,,18,13,18,13
269,27,,,19,5,19,5
270,27,,,20,4,20,4
271,28,,,1,8,1,8
272,28,,,2,20,2,20
273,28,,,4,18,4,18
274,28,,,5,17,5,17
275,28,,,6,19,6,19
276,28,,,7,16,7,16
277,28,,,10,14,10,14
278,28,,,12,15,12,15
279,28,,,13,11,13,11
280,28,,,9,3,9,3
281,29,,,2,16,2,16
282,29,,,5,18,5,18
283,29,,,6,7,6,7
284,29,,,10,9,10,9
285,29,,,12,11,12,11
286,29,,,14,4,14,4
287,29,,,15,3,15,3
288,29,,,17,13,17,13
289,29,,,19,1,19,1
290,29,,,20,8,20,8
291,30,,,1,10,1,10
292,30,,,3,17,3,17
293,30,,,4,5,4,5
294,30,,,7,20,7,20
295,30,,,8,14,8,14
296,30,,,9,6,9,6
297,30,,,11,19,11,19
298,30,,,13,2,13,2
299,30,,,16,12,16,12
300,30,,,18,15,18,15
301,31,,,1,20,1,20
302,31,,,3,14,3,14
303,31,,,7,12,7,12
304,31,,,8,15,8,15
305,31,,,11,6,11,6
306,31,,,16,17,16,17
307,31,,,18,19,18,19
308,31,,,4,10,4,10
309,31,,,9,2,9,2
310,31,,,13,5,13,5
311,32,,,2,4,2,4
312,32,,,5,1,5,1
313,32,,,6,8,6,8
314,32,,,10,7,10,7
315,32,,,12,3,12,3
316,32,,,14,9,14,9
317,32,,,15,11,15,11
318,32,,,17,18,17,18
319,32,,,19,13,19,13
320,32,,,20,16,20,16
321,33,,,5,8,5,8
322,33,,,6,3,6,3
323,33,,,11,4,11,4
324,33,,,12,1,12,1
325,33,,,13,10,13,10
326,33,,,14,7,14,7
327,33,,,15,20,15,20
328,33,,,17,2,17,2
329,33,,,18,16,18,16
330,33,,,19,9,19,9
331,34,,,1,15,1,15
332,34,,,2,12,2,12
333,34,,,3,11,3,11
334,34,,,4,13,4,13
335,34,,,7,18,7,18
336,34,,,8,17,8,17
337,34,,,9,5,9,5
338,34,,,10,19,10,19
339,34,,,16,14,16,14
340,34,,,20,6,20,6
341,35,,,5,3,5,3
342,35,,,6,4,6,4
343,35,,,11,16,11,16
344,35,,,12,10,12,10
345,35,,,13,7,13,7
346,35,,,14,20,14,20
347,35,,,15,2,15,2
348,35,,,17,1,17,1
349,35,,,18,9,18,9
350,35,,,19,8,19,8
351,36,,,1,11,1,11
352,36,,,2,14,2,14
353,36,,,3,19,3,19
354,36,,,4,12,4,12
355,36,,,7,15,7,15
356,36,,,8,18,8,18
357,36,,,9,13,9,13
358,36,,,10,5,10,5
359,36,,,16,6,16,6
360,36,,,20,17,20,17
361,37,,,2,3,2,3
362,37,,,5,7,5,7
363,37,,,6,18,6,18
364,37,,,10,8,10,8
