total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,previous_pl_seasons,Player_pid
0,0,0,0,0,0,0,0,0,0,0,0,0,2,498
0,0,0,0,0,0,0,0,0,0,0,0,0,1,499
1,17,0,0,0,0,0,0,0,0,0,0,2,1,502
3,71,0,0,0,0,0,0,0,0,0,0,5,1,503
0,0,0,0,0,0,0,0,0,0,0,0,0,2,504
1,54,0,0,0,1,0,0,0,0,0,0,3,1,506
1,5,0,0,0,0,0,0,0,0,0,0,0,1,511
4,98,0,0,1,0,0,0,0,0,0,0,17,1,512
0,0,0,0,0,0,0,0,0,0,0,0,0,3,513
0,0,0,0,0,0,0,0,0,0,0,0,0,1,520
41,1731,2,0,2,50,0,0,0,2,0,0,0,1,522
110,3181,1,1,7,49,0,0,0,8,0,0,250,6,527
0,0,0,0,0,0,0,0,0,0,0,0,0,1,528
3,69,0,0,0,3,0,0,0,1,0,0,-2,3,530
707,15572,21,40,33,182,0,0,0,36,3,0,1134,9,533
19,415,0,0,2,4,0,0,0,0,0,0,38,2,534
1,90,0,0,0,2,0,0,0,0,0,0,9,2,537
22,759,0,0,2,11,0,0,0,3,0,0,93,2,538
197,6002,3,12,12,121,0,0,0,12,2,0,792,2,540
1,19,0,0,0,0,0,0,0,0,0,0,1,3,543
0,0,0,0,0,0,0,0,0,0,0,0,0,2,548
21,447,2,0,0,6,0,0,0,1,0,0,0,1,552
15,362,0,0,2,3,0,0,0,0,0,0,36,1,553
121,3330,0,0,7,73,0,0,0,2,0,152,333,1,554
0,0,0,0,0,0,0,0,0,0,0,0,0,4,555
196,7379,2,2,16,138,0,0,0,16,0,0,611,5,556
2,11,0,0,0,0,0,0,0,0,0,0,2,4,557
73,2131,1,2,7,34,0,0,0,7,1,0,258,3,561
15,193,0,2,0,8,0,0,0,1,0,0,25,1,563
1,1,0,0,0,0,0,0,0,0,0,0,0,1,566
254,5554,2,4,0,48,0,0,0,13,0,0,0,4,568
82,1595,7,1,3,34,0,0,0,0,0,0,312,1,569
299,6596,6,5,28,60,1,0,0,22,0,0,827,4,570
80,1280,7,2,0,33,0,0,0,0,0,0,183,1,571
375,10346,11,20,26,187,0,0,0,20,2,0,1656,4,572
424,8338,23,19,17,117,0,0,0,15,1,0,784,10,575
285,7780,9,6,14,88,1,0,0,22,1,0,688,5,576
0,0,0,0,0,0,0,0,0,0,0,0,0,1,578
19,474,0,0,2,6,0,0,0,0,0,0,83,5,580
0,0,0,0,0,0,0,0,0,0,0,0,0,1,581
31,720,0,0,3,8,0,0,0,0,0,19,76,2,583
1,9,0,0,0,0,0,0,0,0,0,0,1,4,584
1,52,0,0,0,1,0,0,0,1,0,0,4,2,586
1,39,0,0,0,1,0,0,0,0,0,0,3,2,587
0,0,0,0,0,0,0,0,0,0,0,0,0,1,588
0,0,0,0,0,0,0,0,0,0,0,0,0,1,589
0,0,0,0,0,0,0,0,0,0,0,0,0,2,590
0,0,0,0,0,0,0,0,0,0,0,0,1,2,591
0,0,0,0,0,0,0,0,0,0,0,0,0,1,592
1,1,0,0,0,0,0,0,0,0,0,0,0,1,593
1,20,0,0,0,1,0,0,0,0,0,0,1,1,594
31,1080,0,0,0,25,0,1,0,0,0,47,18,7,597
1,45,0,0,0,1,0,0,0,0,0,0,3,4,600
0,0,0,0,0,0,0,0,0,0,0,0,0,2,601
49,1895,0,1,5,33,0,0,0,2,1,0,183,3,602
