total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,previous_pl_seasons,Player_pid
166,4800,5,2,12,73,0,0,0,2,0,0,620,3,113
330,9527,10,7,20,151,0,0,0,22,0,0,1284,5,114
184,4162,7,9,7,90,0,0,0,11,0,0,536,5,115
12,233,0,0,0,2,0,0,0,0,0,0,32,3,116
231,5097,8,14,6,98,0,0,0,5,0,0,59,5,117
424,9130,22,15,30,126,0,0,1,27,0,0,1475,4,118
55,1069,2,2,3,14,0,0,0,1,0,0,220,1,119
210,4188,9,8,15,65,0,0,0,6,0,0,850,6,120
328,7724,17,15,15,134,0,0,0,18,0,0,597,9,121
252,5911,16,6,21,86,0,0,0,10,0,0,820,5,122
99,2722,0,0,7,44,0,0,0,2,0,88,267,4,123
105,3211,0,0,8,62,0,0,0,0,0,109,301,2,124
1281,26821,28,55,55,364,1,0,1,38,0,0,2305,10,125
631,14333,14,19,51,177,2,0,0,22,1,0,1909,7,126
1073,26053,14,11,55,326,3,0,0,17,0,1,1781,10,127
223,6194,1,0,21,89,0,0,0,5,0,0,855,4,128
42,1394,0,1,4,22,0,0,0,3,0,0,148,2,129
11,329,0,0,1,5,0,0,0,1,0,0,27,4,130
4,298,0,0,0,7,0,0,0,1,0,0,53,1,131
92,2193,4,1,6,37,0,0,0,4,1,0,304,1,132
380,6587,26,15,25,95,0,0,1,12,2,0,1401,4,133
359,7750,16,16,24,109,0,0,1,12,0,0,1471,6,134
365,9321,12,11,29,135,0,0,0,13,0,0,1170,6,135
555,17543,12,16,44,298,1,0,0,36,1,0,1985,7,136
1095,29157,30,47,72,363,1,0,2,72,4,0,2189,10,137
193,4898,5,9,17,51,0,0,0,16,1,0,446,9,138
44,1842,0,0,4,29,0,0,0,9,0,0,220,2,139
93,2275,2,3,6,28,1,0,0,5,0,0,341,4,140
142,2283,5,13,10,32,0,0,0,3,0,0,602,2,141
965,20243,31,58,44,283,0,0,0,12,0,0,1650,10,142
658,10810,60,30,32,164,1,0,2,8,0,0,2591,5,143
245,5072,17,10,12,89,0,0,0,3,0,0,823,4,144
6,143,0,0,0,6,0,0,0,0,0,0,19,1,145
170,4567,0,0,12,72,0,3,0,0,2,133,416,2,146
13,318,0,0,1,5,0,0,0,0,0,12,25,2,147
320,9431,5,2,14,145,1,0,0,12,0,0,512,6,149
672,18945,8,2,35,271,0,0,0,41,1,0,1005,9,150
45,1526,0,2,3,27,0,0,0,7,0,0,170,1,152
1,94,0,0,0,3,0,0,0,1,0,0,16,1,153
87,3038,0,2,6,46,0,0,0,5,0,0,285,2,154
258,5658,12,11,18,88,0,0,1,14,0,0,910,3,155
232,7358,4,6,22,114,0,0,0,20,0,0,845,6,157
362,10011,5,11,33,150,0,0,0,8,0,0,1071,5,158
454,13093,16,8,30,242,0,0,0,24,0,0,833,6,159
576,15585,10,29,22,232,0,0,0,32,4,0,865,9,160
144,5073,3,2,12,87,0,0,0,21,2,0,441,7,161
255,5154,14,12,9,90,0,0,0,7,0,0,626,5,162
56,1313,4,1,4,17,0,0,0,2,0,0,178,1,163
273,6282,0,0,21,79,0,1,0,2,0,206,724,5,165
251,6705,4,2,25,89,2,0,0,4,1,0,994,2,167
150,2711,0,4,15,20,0,0,0,4,0,0,482,1,168
150,3918,4,6,10,64,1,0,0,8,0,0,543,2,169
75,2292,1,2,7,34,0,0,0,8,0,0,244,2,170
98,3246,2,1,3,63,0,0,0,5,0,0,400,6,171
411,12199,0,6,42,179,0,0,0,23,1,0,1096,7,172
810,21027,19,7,51,284,0,0,0,47,1,1,1309,10,173
3,68,0,0,0,1,0,0,0,1,0,0,15,1,174
342,5115,21,16,24,57,0,0,2,1,0,0,1425,2,176
392,8544,11,24,32,117,0,0,0,17,0,0,1185,8,177
111,2438,4,3,3,34,0,0,0,3,0,0,358,2,178
168,4520,3,8,18,55,0,0,0,4,1,0,741,3,179
8,194,0,0,1,5,0,0,0,0,0,0,20,1,180
18,187,0,2,0,3,0,0,0,0,0,0,57,1,181
7,104,0,0,1,2,0,0,0,0,0,0,23,1,182
331,5374,29,20,21,74,0,0,1,10,1,0,1387,2,184
204,3382,17,6,12,49,0,0,0,3,0,0,672,2,185
88,2054,5,2,12,21,0,0,0,1,0,0,320,1,186
740,17766,0,0,65,257,1,5,0,4,0,587,1901,6,188
170,4751,2,0,14,76,0,0,0,2,0,0,631,3,190
260,6720,2,1,26,89,0,0,0,13,0,0,756,3,191
198,4801,3,4,17,69,0,0,0,9,0,0,684,2,192
424,10997,4,10,39,148,1,0,0,15,0,0,1541,4,193
116,3316,1,3,10,47,0,0,0,9,0,0,427,6,194
23,437,0,1,3,5,0,0,0,3,0,0,58,1,195
4,163,0,0,0,3,0,0,0,0,0,0,30,1,196
3,316,0,0,0,5,0,0,0,1,1,0,36,3,197
17,565,0,0,1,8,0,0,0,1,0,0,69,1,198
485,16226,1,13,44,199,1,0,0,46,1,0,1155,9,200
749,17310,23,36,60,242,0,0,0,22,1,0,2069,8,201
312,8464,8,7,30,126,0,0,0,10,1,0,1184,5,202
447,8038,21,27,35,113,0,0,0,6,1,0,1783,4,203
131,4555,2,2,18,65,0,0,0,11,1,0,693,2,204
473,9204,21,23,39,132,0,0,0,11,0,0,1754,4,205
47,934,2,1,4,11,0,0,0,0,0,0,150,2,206
27,397,0,4,1,6,0,0,0,0,0,0,81,2,207
1086,22109,34,71,48,281,1,0,1,43,2,0,1883,10,208
155,1973,10,8,9,28,0,0,0,1,0,0,522,1,209
4,114,0,0,0,1,0,0,0,0,0,0,27,2,210
1,45,0,0,0,2,0,0,0,0,0,0,2,1,211
297,4731,22,13,16,57,0,0,1,9,2,0,1149,2,212
