id,gameweek,home_score,away_score,home_team,away_team,home_mgr,away_mgr
109,11,1,3,16,11,Bob Bradley,Jose Mourinho
110,11,1,1,20,14,Slaven Bilic,Mark Hughes
111,12,1,2,5,10,Alan Pardew,Pep Guardiola
112,12,1,1,6,16,Ronald Koeman,Bob Bradley
113,12,1,1,11,1,Jose Mourinho,Arsene Wenger
114,12,0,1,12,4,Aitor Karanka,Antonio Conte
115,12,0,0,13,9,Claude Puel,Jurgen Klopp
116,12,0,1,14,2,Mark Hughes,Eddie Howe
117,12,3,0,15,7,David Moyes,Mike Phelan
118,12,3,2,17,20,Mauricio Pochettino,Slaven Bilic
119,12,2,1,18,8,Walter Mazzarri,Claudio Ranieri
120,12,4,0,19,3,Tony Pullis,Sean Dyche
121,13,3,1,1,2,Arsene Wenger,Eddie Howe
122,13,1,2,3,10,Sean Dyche,Pep Guardiola
123,13,2,1,4,17,Antonio Conte,Mauricio Pochettino
124,13,1,1,7,19,Mike Phelan,Tony Pullis
125,13,2,2,8,12,Claudio Ranieri,Aitor Karanka
126,13,2,0,9,15,Jurgen Klopp,David Moyes
127,13,1,1,11,20,Jose Mourinho,Slaven Bilic
128,13,1,0,13,6,Claude Puel,Ronald Koeman
129,13,5,4,16,5,Bob Bradley,Alan Pardew
130,13,0,1,18,14,Walter Mazzarri,Mark Hughes
131,14,4,3,2,9,Eddie Howe,Jurgen Klopp
132,14,3,0,5,13,Alan Pardew,Claude Puel
133,14,1,1,6,11,Ronald Koeman,Jose Mourinho
134,14,1,3,10,4,Pep Guardiola,Antonio Conte
135,14,1,0,12,7,Aitor Karanka,Mike Phelan
136,14,2,0,14,3,Mark Hughes,Sean Dyche
137,14,2,1,15,8,David Moyes,Claudio Ranieri
138,14,5,0,17,16,Mauricio Pochettino,Bob Bradley
139,14,3,1,19,18,Tony Pullis,Walter Mazzarri
140,14,1,5,20,1,Slaven Bilic,Arsene Wenger
141,15,,,1,14,Arsene Wenger,Mark Hughes
142,15,,,3,2,Sean Dyche,Eddie Howe
143,15,,,4,19,Antonio Conte,Tony Pullis
144,15,,,7,5,Mike Phelan,Alan Pardew
145,15,,,8,10,Claudio Ranieri,Pep Guardiola
146,15,,,9,20,Jurgen Klopp,Slaven Bilic
147,15,,,16,15,Bob Bradley,David Moyes
148,15,,,18,6,Walter Mazzarri,Ronald Koeman
149,15,,,11,17,Jose Mourinho,Mauricio Pochettino
150,15,,,13,12,Claude Puel,Aitor Karanka
151,16,,,2,8,Eddie Howe,Claudio Ranieri
152,16,,,15,4,David Moyes,Antonio Conte
153,16,,,19,16,Tony Pullis,Bob Bradley
154,16,,,20,3,Slaven Bilic,Sean Dyche
155,16,,,5,11,Alan Pardew,Jose Mourinho
156,16,,,6,1,Ronald Koeman,Arsene Wenger
157,16,,,10,18,Pep Guardiola,Walter Mazzarri
158,16,,,12,9,Aitor Karanka,Jurgen Klopp
159,16,,,14,13,Mark Hughes,Claude Puel
160,16,,,17,7,Mauricio Pochettino,Mike Phelan
161,17,,,2,13,Eddie Howe,Claude Puel
162,17,,,5,4,Alan Pardew,Antonio Conte
163,17,,,6,9,Ronald Koeman,Jurgen Klopp
164,17,,,10,1,Pep Guardiola,Arsene Wenger
165,17,,,12,16,Aitor Karanka,Bob Bradley
166,17,,,14,8,Mark Hughes,Claudio Ranieri
167,17,,,15,18,David Moyes,Walter Mazzarri
168,17,,,17,3,Mauricio Pochettino,Sean Dyche
169,17,,,19,11,Tony Pullis,Jose Mourinho
170,17,,,20,7,Slaven Bilic,Mike Phelan
171,18,,,1,19,Arsene Wenger,Tony Pullis
172,18,,,3,12,Sean Dyche,Aitor Karanka
173,18,,,4,2,Antonio Conte,Eddie Howe
174,18,,,7,10,Mike Phelan,Pep Guardiola
175,18,,,8,6,Claudio Ranieri,Ronald Koeman
176,18,,,9,14,Jurgen Klopp,Mark Hughes
177,18,,,11,15,Jose Mourinho,David Moyes
178,18,,,13,17,Claude Puel,Mauricio Pochettino
179,18,,,16,20,Bob Bradley,Slaven Bilic
180,18,,,18,5,Walter Mazzarri,Alan Pardew
181,19,,,1,5,Arsene Wenger,Alan Pardew
182,19,,,3,15,Sean Dyche,David Moyes
183,19,,,4,14,Antonio Conte,Mark Hughes
184,19,,,7,6,Mike Phelan,Ronald Koeman
185,19,,,8,20,Claudio Ranieri,Slaven Bilic
186,19,,,9,10,Jurgen Klopp,Pep Guardiola
187,19,,,11,12,Jose Mourinho,Aitor Karanka
188,19,,,13,19,Claude Puel,Tony Pullis
189,19,,,16,2,Bob Bradley,Eddie Howe
190,19,,,18,17,Walter Mazzarri,Mauricio Pochettino
191,20,,,2,1,Eddie Howe,Arsene Wenger
192,20,,,5,16,Alan Pardew,Bob Bradley
193,20,,,6,13,Ronald Koeman,Claude Puel
194,20,,,10,3,Pep Guardiola,Sean Dyche
195,20,,,12,8,Aitor Karanka,Claudio Ranieri
196,20,,,14,18,Mark Hughes,Walter Mazzarri
197,20,,,15,9,David Moyes,Jurgen Klopp
198,20,,,17,4,Mauricio Pochettino,Antonio Conte
199,20,,,19,7,Tony Pullis,Mike Phelan
200,20,,,20,11,Slaven Bilic,Jose Mourinho
201,21,,,3,13,Sean Dyche,Claude Puel
202,21,,,6,10,Ronald Koeman,Pep Guardiola
203,21,,,7,2,Mike Phelan,Eddie Howe
204,21,,,8,4,Claudio Ranieri,Antonio Conte
205,21,,,11,9,Jose Mourinho,Jurgen Klopp
206,21,,,15,14,David Moyes,Mark Hughes
207,21,,,16,1,Bob Bradley,Arsene Wenger
208,21,,,17,19,Mauricio Pochettino,Tony Pullis
209,21,,,18,12,Walter Mazzarri,Aitor Karanka
210,21,,,20,5,Slaven Bilic,Alan Pardew
211,22,,,1,3,Arsene Wenger,Sean Dyche
212,22,,,2,18,Eddie Howe,Walter Mazzarri
