pid,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,influence,creativity,threat,ict_index,selected_by_percent
90,619,3,5,5,3,0,0,0,2,0,0,399,231.0,189.9,193.0,60.5,5.4
91,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0.0,0.0,0.0
92,751,3,1,6,2,0,0,0,1,0,0,127,257.8,169.5,243.0,66.8,3.3
93,0,0,0,0,0,0,0,0,0,0,0,81,0.0,0.0,0.0,0.0,0.0
94,16,0,0,0,0,0,0,0,0,0,0,86,0.2,0.4,0.0,0.1,0.0
95,1260,1,0,7,11,0,0,0,3,0,0,501,215.4,172.8,105.0,49.2,13.7
96,85,1,1,0,0,0,0,0,0,0,0,0,57.8,16.2,84.0,15.7,1.0
97,1228,11,5,7,11,0,0,0,4,0,0,533,567.2,328.3,803.0,169.8,48.0
98,0,0,0,0,0,0,0,0,0,0,0,62,0.0,0.0,0.0,0.0,0.2
99,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.2
100,450,0,0,1,9,0,0,0,1,0,13,266,98.6,0.0,0.0,9.8,2.1
101,0,0,0,0,0,0,0,0,0,0,0,82,0.0,0.0,0.0,0.0,0.2
102,810,0,0,0,17,0,0,0,0,0,24,0,182.8,0.0,0.0,18.2,2.9
103,772,3,0,1,19,0,0,0,2,0,0,221,256.8,6.3,154.0,41.8,0.3
104,900,2,1,1,19,0,0,0,1,0,0,480,255.8,45.6,206.0,50.9,3.6
105,1257,0,1,1,26,0,0,0,1,0,0,333,238.2,89.4,112.0,44.0,0.8
106,776,0,1,0,19,0,0,0,1,0,0,96,132.2,64.2,6.0,20.3,0.7
107,936,0,0,2,14,0,0,0,2,0,0,366,224.8,18.0,30.0,27.2,0.6
108,270,0,0,0,3,0,0,0,0,0,0,354,53.6,33.5,9.0,9.7,0.3
109,1048,1,4,3,14,0,0,0,3,0,0,469,238.0,326.7,252.0,81.8,4.7
110,1051,0,4,1,18,0,0,0,4,0,0,381,243.4,495.7,147.0,88.7,0.8
111,1105,2,6,1,23,0,0,0,3,0,0,353,335.2,289.1,401.0,102.7,5.6
112,90,0,0,0,1,0,0,0,0,0,0,118,11.8,31.2,0.0,4.3,0.2
113,667,1,1,2,12,0,0,0,0,0,0,121,98.2,76.2,21.0,19.4,0.6
114,1003,4,2,1,21,0,0,0,3,0,0,282,284.2,131.4,183.0,59.9,2.5
115,9,0,0,0,1,0,0,0,0,0,0,54,4.8,12.8,0.0,1.8,0.2
116,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
117,287,0,1,2,6,0,0,0,0,0,0,56,56.2,98.2,40.0,19.6,0.2
118,728,1,0,0,21,0,0,1,4,0,0,397,155.0,228.7,237.0,62.0,1.1
119,25,0,0,0,2,0,0,0,0,0,0,220,4.0,0.9,4.0,1.0,0.0
120,1049,1,2,2,19,0,0,0,3,0,0,315,185.6,325.6,246.0,75.4,2.3
121,24,0,0,0,1,0,0,0,0,0,0,12,0.0,3.2,13.0,1.5,1.0
122,412,2,0,0,6,0,0,0,1,0,0,225,87.6,36.2,132.0,25.0,0.4
123,90,0,0,1,0,0,0,0,0,0,3,110,21.6,0.0,0.0,2.2,0.1
124,1170,0,0,2,16,1,2,0,2,0,31,151,263.6,0.0,0.0,26.4,4.2
125,712,1,1,2,6,0,0,1,1,0,0,212,147.2,141.3,80.0,36.9,4.8
126,966,2,0,2,14,0,0,0,2,0,0,327,260.6,97.3,104.0,46.3,4.7
127,1080,0,1,2,15,0,0,0,2,0,0,221,283.8,18.0,49.0,35.0,5.4
128,984,0,0,1,12,0,0,0,1,0,0,336,199.2,39.8,37.0,27.8,23.3
129,247,0,0,1,3,0,0,0,0,0,0,126,33.0,18.4,25.0,7.5,0.2
130,0,0,0,0,0,0,0,0,0,0,0,22,0.0,0.0,0.0,0.0,2.1
131,0,0,0,0,0,0,0,0,0,0,0,53,0.0,0.0,0.0,0.0,0.4
132,468,0,0,1,8,0,0,0,0,0,0,304,94.8,26.2,39.0,16.0,1.3
133,795,1,2,3,9,0,0,0,1,0,0,245,130.2,277.4,282.0,68.3,1.7
134,990,2,1,2,14,0,0,0,2,0,0,654,190.4,423.0,362.0,97.6,6.6
135,404,0,0,0,9,0,0,0,1,0,0,241,47.0,60.5,29.0,13.6,0.1
136,232,0,0,0,4,0,0,0,1,0,0,365,31.4,10.3,1.0,4.4,0.2
137,1103,2,0,3,15,0,0,0,6,0,0,418,249.4,148.0,169.0,56.4,4.8
138,0,0,0,0,0,0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,0.1
139,0,0,0,0,0,0,0,0,0,0,0,75,0.0,0.0,0.0,0.0,0.0
140,475,0,0,1,7,0,0,0,3,0,0,130,77.0,42.8,0.0,12.0,0.2
141,370,0,0,0,3,0,0,0,0,0,0,283,41.0,107.8,107.0,25.5,1.0
142,179,0,0,0,3,0,0,0,0,0,0,278,25.4,18.7,6.0,5.0,0.2
143,1106,7,3,3,14,0,0,0,2,0,0,754,389.6,295.0,544.0,122.9,26.5
144,46,0,0,0,0,0,0,0,0,0,0,289,6.8,17.2,22.0,4.6,0.8
145,0,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0
146,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
147,450,0,0,1,7,0,1,0,0,0,21,0,162.6,0.0,0.0,16.3,18.7
148,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.6
149,1260,0,1,1,29,0,0,0,1,0,0,0,427.2,14.4,98.0,54.0,2.0
150,540,2,0,0,9,1,0,0,1,0,0,0,247.6,2.4,93.0,34.3,1.0
151,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
152,783,0,0,1,18,0,0,0,2,0,0,0,136.2,55.8,7.0,19.9,0.9
153,378,0,1,0,14,0,0,0,0,0,0,0,106.4,12.8,21.0,14.1,0.0
154,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2
155,1102,4,1,2,26,0,0,0,1,0,0,0,249.6,356.1,261.0,85.7,5.1
156,1242,0,1,1,29,0,0,0,5,0,0,0,188.0,149.8,68.0,40.7,0.1
157,1180,0,1,1,29,0,0,0,2,1,0,0,277.8,91.6,55.0,42.4,0.1
158,1108,0,0,1,27,0,0,0,0,1,0,0,190.6,97.1,35.0,32.3,0.2
159,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
160,621,0,1,1,13,0,0,0,2,0,0,0,66.8,99.0,35.0,20.1,0.2
161,686,1,0,1,18,0,0,0,1,0,0,0,132.2,113.1,57.0,30.3,0.3
162,151,1,1,0,5,0,0,0,0,0,0,0,73.6,38.8,48.0,16.0,0.8
163,671,1,1,2,11,0,0,0,0,0,0,0,61.6,92.8,221.0,37.4,1.0
164,642,1,0,2,10,0,0,0,1,0,0,0,80.0,117.0,110.0,30.8,4.6
165,686,0,0,2,11,0,0,0,0,0,35,475,221.2,0.0,0.0,22.2,6.1
166,574,0,0,1,13,0,0,0,0,0,14,0,107.0,0.0,2.0,11.0,0.4
167,1260,1,1,3,24,0,0,0,0,0,0,549,252.0,34.2,133.0,42.0,17.7
168,1237,1,1,3,24,0,0,0,4,0,0,482,321.2,256.7,64.0,64.4,7.5
169,141,0,0,0,2,0,0,0,0,0,0,236,23.4,29.2,16.0,6.9,0.2
170,0,0,0,0,0,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0,1.1
171,0,0,0,0,0,0,0,0,0,0,0,129,0.0,0.0,0.0,0.0,0.1
172,1105,0,1,3,19,0,0,0,4,0,0,390,193.8,66.6,40.0,30.0,1.5
173,1166,0,1,3,22,1,0,0,4,0,0,453,221.6,14.7,150.0,38.6,1.6
174,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.2
175,237,0,0,0,7,0,0,0,0,0,0,0,49.4,60.4,0.0,11.0,0.4
176,1083,3,2,3,20,0,0,1,2,0,0,994,226.4,297.8,361.0,88.6,10.2
177,771,0,0,4,14,0,0,0,1,0,0,519,77.4,167.1,65.0,30.8,0.8
178,625,0,0,0,11,0,0,0,0,0,0,174,77.2,69.3,80.0,22.7,0.2
179,1068,0,1,3,20,0,0,0,1,0,0,592,197.6,138.5,147.0,48.4,4.4
180,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.2
181,233,1,2,0,5,0,0,0,1,0,0,57,76.2,56.6,43.0,17.6,0.5
182,837,0,1,2,18,0,0,0,2,0,0,23,103.4,122.7,57.0,28.5,0.2
183,52,0,0,0,0,0,0,0,1,0,0,0,0.0,0.8,0.0,0.0,0.3
184,1045,2,3,3,23,0,0,0,2,0,0,945,129.4,147.8,266.0,53.8,8.8
185,99,0,0,0,2,0,0,0,0,0,0,226,4.8,11.4,21.0,3.3,0.2
186,615,2,0,2,9,0,0,0,0,0,0,320,86.6,70.9,184.0,33.4,1.7
187,488,2,0,1,11,0,0,0,1,0,0,0,101.0,107.7,167.0,37.0,3.7
188,450,0,0,0,8,0,1,0,0,0,10,340,109.2,0.0,0.0,10.8,1.9
189,810,0,0,3,10,0,0,0,0,0,19,0,143.2,0.0,0.0,14.4,1.9
190,0,0,0,0,0,0,0,0,0,0,0,273,0.0,0.0,0.0,0.0,0.1
191,990,2,0,3,15,0,0,0,3,0,0,248,309.8,50.6,128.0,48.9,7.1
192,200,0,1,0,5,0,0,0,1,0,0,394,40.2,32.5,8.0,8.1,1.8
193,1260,0,1,3,18,0,0,0,0,0,0,387,222.2,315.3,139.0,67.6,11.8
194,225,0,0,0,4,0,0,0,1,0,0,67,44.4,15.4,0.0,6.0,0.3
195,0,0,0,0,0,0,0,0,0,0,0,58,0.0,0.0,0.0,0.0,0.0
196,0,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,1.3
197,80,0,0,0,2,0,0,0,1,0,0,35,10.2,1.5,25.0,3.7,3.2
198,20,0,0,0,0,0,0,0,0,0,0,69,3.6,0.4,0.0,0.4,0.1
199,990,1,0,3,9,0,0,0,1,0,0,0,263.6,57.2,112.0,43.2,3.1
200,286,0,0,0,6,0,0,0,1,0,0,253,77.8,16.4,27.0,12.3,0.2
201,1243,1,4,3,18,0,0,0,6,0,0,250,354.2,391.4,42.0,78.8,2.0
202,1012,4,2,3,17,0,0,0,4,0,0,132,319.4,287.5,301.0,90.9,12.9
203,960,5,6,3,11,0,0,0,2,0,0,459,395.8,526.6,529.0,144.9,20.0
204,661,3,1,3,9,0,0,0,2,0,0,399,199.6,183.2,241.0,62.1,2.5
205,788,3,5,2,15,0,0,0,1,0,0,416,279.0,229.6,304.0,80.9,7.6
206,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
207,0,0,0,0,0,0,0,0,0,0,0,81,0.0,0.0,0.0,0.0,0.0
208,1061,5,1,3,13,0,0,0,1,0,0,508,386.4,303.4,221.0,91.2,7.6
209,1154,5,5,3,17,0,0,0,1,0,0,522,356.4,491.2,626.0,147.5,18.4
210,0,0,0,0,0,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.1
211,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.1
212,1117,7,4,4,12,0,0,0,1,0,0,635,387.8,294.0,544.0,122.6,19.4
213,1063,7,1,1,23,0,0,1,3,0,0,315,284.4,202.6,661.0,113.4,7.7
214,380,0,3,1,4,0,0,0,1,0,0,283,54.0,91.5,223.0,36.6,0.8
215,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2
216,0,0,0,0,0,0,0,0,0,0,0,81,0.0,0.0,0.0,0.0,0.2
217,260,2,0,0,6,0,0,0,0,0,0,200,87.6,65.0,102.0,25.3,2.9
218,0,0,0,0,0,0,0,0,0,0,0,360,0.0,0.0,0.0,0.0,1.1
219,270,0,0,0,3,0,0,0,0,0,5,45,47.6,0.0,0.0,4.8,0.4
220,1112,0,0,2,13,1,0,0,4,0,0,429,233.0,122.0,101.0,45.8,3.5
221,428,0,0,0,6,0,0,0,1,0,0,152,68.6,27.3,2.0,9.8,1.1
222,114,0,0,0,1,0,0,0,1,0,0,173,16.4,1.3,6.0,2.4,0.4
223,551,0,0,1,7,0,0,0,0,0,0,166,105.6,87.6,6.0,20.0,1.1
224,527,0,1,1,5,0,0,0,1,0,0,386,78.2,41.4,29.0,14.9,2.0
225,0,0,0,0,0,0,0,0,0,0,0,235,0.0,0.0,0.0,0.0,0.3
226,951,0,2,1,12,0,0,0,5,0,0,353,289.0,73.4,95.0,46.0,2.9
227,30,0,0,0,1,0,0,0,0,0,0,156,0.0,4.2,2.0,0.6,0.1
228,997,4,3,2,11,0,0,0,3,0,0,400,256.6,254.7,521.0,103.1,9.9
229,16,0,0,0,0,0,0,0,0,0,0,164,4.8,12.3,41.0,5.8,0.2
230,979,0,2,2,12,0,0,0,1,0,0,351,200.2,537.0,286.0,102.4,2.2
231,195,2,0,0,3,0,0,0,0,0,0,525,86.2,33.3,106.0,22.5,1.7
232,378,0,2,1,7,0,0,0,1,0,0,408,40.8,159.5,74.0,27.3,0.6
233,1260,1,1,2,15,0,0,0,3,1,0,417,247.2,264.7,165.0,67.6,1.8
234,301,0,0,1,3,0,0,0,1,0,0,236,63.4,17.6,5.0,8.6,0.2
235,951,2,9,1,12,0,0,1,1,0,0,546,323.8,631.2,315.0,127.2,10.4
236,594,3,1,3,5,0,0,0,0,0,0,0,179.6,188.7,188.0,55.7,9.3
237,576,3,3,2,5,0,0,0,3,1,0,0,163.2,189.6,247.0,59.7,1.3
238,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
239,1006,10,1,2,13,0,0,1,3,1,0,789,394.4,193.2,881.0,146.4,29.8
240,677,2,0,3,12,0,0,0,1,0,0,249,102.8,116.8,271.0,49.0,1.1
241,301,3,3,1,3,0,0,0,0,0,0,242,179.0,152.3,323.0,64.9,4.2
242,1260,0,0,4,16,0,0,0,1,0,30,368,230.4,0.0,0.0,22.9,36.0
243,0,0,0,0,0,0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.1
244,453,1,0,1,9,0,0,0,0,0,0,381,124.4,2.7,41.0,16.8,1.0
245,360,0,0,0,4,0,0,0,0,0,0,64,100.0,13.9,22.0,13.6,0.5
246,0,0,0,0,0,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0,0.0
247,525,0,1,3,5,0,0,0,0,0,0,92,79.2,73.7,37.0,19.0,9.7
248,489,0,0,1,6,0,0,0,1,0,0,192,133.0,38.3,38.0,20.9,0.5
249,353,0,0,1,9,1,0,0,0,0,0,28,30.6,51.1,28.0,10.7,0.3
250,1051,0,0,3,13,0,0,0,2,0,0,186,235.8,259.5,60.0,55.5,6.3
251,423,0,0,2,3,0,0,0,1,0,0,257,59.8,33.7,10.0,10.3,0.8
252,0,0,0,0,0,0,0,0,0,0,0,123,0.0,0.0,0.0,0.0,0.0
253,1,0,0,0,0,0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.2
254,837,0,2,4,10,0,0,0,0,0,0,477,269.2,211.2,29.0,50.9,7.7
255,771,0,0,3,10,0,0,0,3,0,0,0,192.0,7.4,27.0,22.8,6.5
256,745,3,1,5,8,0,0,0,2,0,0,586,243.4,334.0,316.0,89.4,4.1
257,705,0,0,3,10,0,0,0,6,0,0,164,132.8,123.4,57.0,30.8,0.3
258,24,0,0,0,1,0,0,0,1,0,0,259,1.2,1.8,4.0,0.7,0.2
259,283,0,0,0,3,0,0,0,0,0,0,275,60.2,8.9,5.0,7.3,1.3
260,237,0,0,1,3,0,0,0,1,0,0,178,42.6,16.8,18.0,7.8,0.1
261,504,0,0,0,14,0,0,0,0,1,0,33,56.8,153.1,113.0,32.4,0.5
262,834,0,1,2,10,0,0,0,2,1,0,307,205.8,188.3,78.0,47.4,0.4
263,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0
264,14,0,0,0,1,0,0,0,0,0,0,317,1.6,4.9,2.0,0.9,0.2
265,0,0,0,0,0,0,0,0,0,0,0,200,0.0,0.0,0.0,0.0,0.1
266,418,0,1,2,7,0,0,0,0,0,0,318,89.8,202.4,166.0,45.8,0.4
267,465,1,3,3,4,0,0,0,0,0,0,593,127.2,147.2,158.0,43.3,2.6
268,217,0,0,1,2,0,0,0,0,0,0,0,45.0,75.7,103.0,22.3,1.6
269,652,1,4,2,9,0,0,0,4,0,0,509,175.4,295.7,205.0,67.8,2.5
270,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.1
271,736,3,0,2,12,0,0,0,1,0,0,237,144.0,173.3,312.0,62.9,5.7
272,1170,8,1,4,15,0,0,0,4,0,0,0,331.8,354.5,929.0,161.0,26.9
273,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1
274,1080,0,0,3,14,0,0,0,1,0,28,0,220.6,0.0,0.0,22.1,5.3
275,390,1,0,2,5,0,0,0,2,0,0,0,120.6,8.3,64.0,19.4,0.2
276,900,0,2,2,12,0,0,0,1,0,0,0,235.8,88.7,89.0,41.5,3.4
277,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6
278,1260,1,0,4,15,0,0,0,0,0,0,0,334.0,17.3,37.0,38.8,7.7
279,320,0,0,1,5,0,0,0,0,0,0,0,47.6,31.9,38.0,11.9,0.3
280,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
281,122,0,0,0,2,0,0,0,0,0,0,0,8.4,20.5,33.0,6.0,0.0
282,917,1,2,2,12,0,0,0,1,0,0,0,168.0,283.0,164.0,61.5,0.5
283,936,0,0,4,10,0,0,0,3,0,0,0,142.2,74.0,15.0,23.0,0.6
284,30,0,0,0,0,0,0,0,0,0,0,0,5.4,14.2,8.0,2.7,0.0
285,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
286,1149,0,1,4,13,0,0,0,2,0,0,0,135.4,209.7,78.0,42.2,0.2
287,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2
288,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1
289,251,0,2,1,4,0,0,0,0,0,0,0,44.2,56.2,108.0,20.9,0.2
290,862,1,0,2,11,0,0,0,3,0,0,0,90.8,70.8,84.0,24.5,0.7
291,43,0,0,0,0,0,0,0,0,0,0,0,3.4,3.3,2.0,0.7,0.3
292,107,0,0,0,1,0,0,0,0,0,0,0,18.4,25.7,64.0,10.8,0.2
293,532,3,0,1,8,0,0,0,3,0,0,0,138.0,72.2,97.0,30.4,4.0
294,1260,0,0,5,15,0,0,0,2,0,19,233,148.4,10.0,0.0,15.8,4.9
295,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0
296,797,0,1,5,9,0,0,0,2,0,0,415,133.6,121.9,62.0,31.8,1.1
297,1170,0,0,5,14,0,0,0,1,0,0,487,253.4,43.8,78.0,37.5,5.0
298,180,0,1,0,3,0,0,0,1,0,0,152,33.2,20.6,43.0,9.7,0.3
